Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c16,-0.034688799103548204,Old_Features,rsl21_rate,0.001772484267738099,0.7551543787828471,0.0653817869085166,Distributed
c14,0.033171566076492597,Old_Features,rsl21_rate,0.001772484267738099,0.7551543787828471,0.0653817869085166,Distributed
c5,0.023155621010313696,Old_Features,rsl21_rate,0.001772484267738099,0.7551543787828471,0.0653817869085166,Distributed
c10,-0.023091696664360426,Old_Features,rsl21_rate,0.001772484267738099,0.7551543787828471,0.0653817869085166,Distributed
c2,0.016025545035168936,Old_Features,rsl21_rate,0.001772484267738099,0.7551543787828471,0.0653817869085166,Distributed
c7,-0.01536490709129833,Old_Features,rsl21_rate,0.001772484267738099,0.7551543787828471,0.0653817869085166,Distributed
c1,-0.013548832594292144,Old_Features,rsl21_rate,0.001772484267738099,0.7551543787828471,0.0653817869085166,Distributed
c11,-0.01264849414920582,Old_Features,rsl21_rate,0.001772484267738099,0.7551543787828471,0.0653817869085166,Distributed
c9,0.011282664711896838,Old_Features,rsl21_rate,0.001772484267738099,0.7551543787828471,0.0653817869085166,Distributed
c13,-0.010914474003564113,Old_Features,rsl21_rate,0.001772484267738099,0.7551543787828471,0.0653817869085166,Distributed
c8,-0.00417056398098232,Old_Features,rsl21_rate,0.001772484267738099,0.7551543787828471,0.0653817869085166,Distributed
